-35:17:28|||Counting down to launch
000:58:23|C|Kerwin|Roger.
000:58:24|T|CDR|And, Houston, we're beginning to see a beautiful sunrise here.
000:58:29|C|Kerwin|Roger that, Jim.
000:59:16|P|PAO|We've had Loss Of Signal now with the spacecraft through Carnarvon. Apollo 13 will be coming within range of the tracking antennas at the Honeysuckle Creek, Australia station in less then a minute. We'll stand by for reacquiring.
001:00:09|P|PAO|And at 1 hour, 10 minutes into the flight of Apollo 13, we should be reacquiring radio contact with the spacecraft through Honeysuckle Creek momentarily. Recapping briefly the situation during the launch: We had a normal first stage burn. The second stage ignition was normal up through 5 minutes and 30 seconds at which time the inboard engine, engine No.5 shut down early. The center engine had been scheduled to shut down at about 7 minutes, 44 seconds Ground Elapsed Time. The cut-off on the second stage was at about 9 minutes, 48 seconds - about 30 seconds early, and the total excess burn time on the third stage was about 10 seconds. CapCom Joe Kerwin has just put in a call to the crew. We've had Acquisition Of Signal. We'll stand by for conversation with the spacecraft.
001:00:51|C|Kerwin|13, Houston through Honeysuckle.
001:01:10|C|Kerwin|Apollo 13, Houston through Honeysuckle.
001:01:15|T|CDR|Roger, Houston; 13 here. Reading you loud and clear.
001:01:19|C|Kerwin|Okay. S-band sounds good, Jim.
001:03:21|T|LMP|[Very weak.] Ah, Houston, 13.
001:03:24|C|Kerwin|Go ahead, 13.
001:03:26|T|LMP|Would it be okay if I crank up the FM after we leave Honeysuckle here?
001:03:37|C|Kerwin|You're coming in weak. I didn't quite copy it.
001:03:42|T|LMP|Would it be okay, Joe, if we crank up the FM after we leave Honeysuckle here?
001:03:47|C|Kerwin|Oh. Stand by on that one.
001:04:43|C|Kerwin|13, Houston.
001:04:46|T|CDR|Go ahead, Houston.
001:04:48|C|Kerwin|What TV was that?  Okay, 13 -
001:04:55|T|LMP|Okay, Joe. I just wanted to put on the TV switch at Honeysuckle to tune her up there.
001:05:01|C|Kerwin|Roger. I'm being prompted, and you've got a Go for that. You can turn it on, go to TV, and we'll see you that way over the States.
001:05:10|T|LMP|Okay.
001:05:18|O|CDR|Fred, I'll read the PADs, or you read the PADs, or somebody read the PADs.
001:05:22|O|CMP|Hey, can I get a - a TV ...?
001:05:29|O|LMP|Oh, yes, Jack. LOS Carnarvon.
001:05:35|O|CDR|Okay. 1:45, 75 ... LOS at - ...
001:05:36|C|Kerwin|Okay. 13, Houston. LOS Honeysuckle in about 30 seconds, and we'll see you over the States at 1 plus 28 plus 43.
001:05:51|O|CDR|Okay, coming up. ...
001:05:57|C|Kerwin|13, Houston. Did you copy your AOS time?
001:06:07|O|CDR|Fred, I'll get them when we get all relaxed. I'll do that ...
001:06:14|O|CMP|...
001:06:20|O|CDR|Hey, Jack, ...
001:06:25|O|LMP|...
001:06:26|P|PAO|We've had Loss Of Signal now from the spacecraft. At last look, everything appeared to be normal with the spacecraft and the launch vehicle. We currently show an orbit of 103.2 nautical miles - actually, a correction on that, 102.6 by 106.3 [nautical miles, 190.0 by 196.9 km] and our current altitude is 103.2 [191.1 km]. We'll be reacquiring the spacecraft over the United States at a Ground Elapsed Time of 1 minute, 28 seconds, 43 - 28 minutes, 43 seconds at which time you heard the crew advise that they will be configured for the TV transmission, which is scheduled to occur at about 1 minute - 1 hour, 36 minutes over the MILA station. The Post Launch Press Conference is scheduled to begin shortly at Cape Kennedy. At 1 hour, 7 minutes; this is Mission Control, Houston.
001:06:33|O|CMP|Yes, I can - yes, I can do it, Freddo. ...
001:07:28|P|PAO|<b>King:</b> Okay, we're back here at Kennedy Space Center now, and I guess we're ready to proceed. We're going to attempt to conduct this post launch conference between communications with the spacecraft. This gives us approximately some 20 minutes. We'll do our best to try and get as many questions in in that time, but I'll be standing by for a signal also so we can go back to air-ground at the proper time so you can keep up with every phase of the mission. At this point, I'd like to introduce Mr. Walter Kapryan, Director of Launch Operations for the Kennedy Space Center and Launch Director for Apollo missions.
001:08:04|P|PAO|<b>Kapryan:</b> Good afternoon ladies and gentlemen. It's a pleasure to see you on a clear day for a change. I guess there really isn't too much to report to you as far as the countdown itself is concerned. It was perfectly nominal. We had no problems whatsoever with the spacecraft, with one exception and that was in that we do have a lock to safe our pyro bus and it takes a key to remove that lock and we broke the darn key off in the lock and it took us a little while to get it out. We did have a spare key and we took that off. And that's the soil and substance of our problems with the spacecraft. At approximately 1 hour and 50 minutes before launch, we did run into a little difficulty with a LOX vent valve on the S-IC stage which we were attempting to cycle; open and close as required for the venting process, and it stuck on us in the full-open position, and we ran through a repeated number of cycles attempting to free it and for some time were unsuccessful in doing so. It caused us concern in that if we had not been able to close the vent valve, we would not have been able to pressurise the LOX tank at T minus 72 seconds. However, we did run some nitrogen gas through the system and we were able to sufficiently raise the temperature such that we were able to close the valve and we proceeded the rest of the way with that vent valve in a closed position at all times and we do have a second vent valve in the stage that we relied on to give us the correct conditions at time of stage pressurisation at T minus 72 seconds. Those two items were the soil and substance of the problems that we encountered during the entire countdown. As most of you know by this time, the first stage burn was perfectly nominal. You may have noticed that it seemed almost like an eternity before the vehicle cleared the tower. That, of course, was because this is the heaviest vehicle that we've flown. It was approximately 26,000 pounds heavier at lift-off than Apollo 12 and the S-IC engines, though they were perfectly within specification, were rated at about 100,000 pounds total thrust less than those that we had on the Apollo 12 vehicle. This made the time about one half to three quarters of a second longer in clearing the tower. All of the first stage burn, as I mentioned earlier, was perfectly nominal. The second stage burn was nominal up until the time that the S-II inboard engine cut off. That engine is normally cut off by switch selector command approximately 90 seconds before the outboard engines are cut off. For some reeason that we have not been able to determine at this time, the engine did cut itself off approximately 2 minutes earlier than planned. Now, as a result of that having happened, the outboard engines of course burned approximately a half a second [means minute] longer; they burned to fuel depletion and made up some of the energy that was lost by virtue of the inboard engine having cut off early, and when we burned the S-IVB, it burned approximately half a minute longer than originally planned in order to make up the deficiency and at the end of the first burn of the S-IVB, the deficiency was made up. Now, we had approximately 2,200-pound payload margin for this mission. We used up a little but of that margin by the fact that the engine did cut off early but we did not use up enough to - to lose any confidence in our ability to perform the TLI manoeuvre. We do still have a 3-sigma capability. So, we have no reason to suspect that we will not have a good TLI burn and fly a perfectly nominal mission from this point on. I guess that's all I have in the way of general comments. Feel free to ask any questions if you choose to.
001:12:53|P|PAO|<b>King:</b> Hey, Dick, right down here.
001:12:57|P|PAO|<b>Newsman:</b> Why did we nominally have main stage engines lower rated in thrust, if I understood you correctly?
001:13:04|P|PAO|<b>Kapryan:</b> They weren't - they weren't - Well, you know, the vendor guarantees engine performance to within cer - to a certain specification. These engines did meet that specification. It just so happens they weren't quite as hot as the ones we flew on Apollo 12. There's nothing wrong with them. I don't - I don't mean to imply that. I'm just explaining to you why it took a little longer to clear the tower than it had taken on previous missions.
001:13:31|P|PAO|<b>King:</b> Up there. Go ahead.
001:13:36|P|PAO|<b>Newsman:</b> Does the longer time for the S-IVB burn affect the time lines, or - ?
001:13:41|P|PAO|<b>Kapryan:</b> I don't think it affects us significantly. I think we're going to be within seconds. Certainly not more than a minute or two.
001:13:49|P|PAO|<b>King:</b> Question Anderson.
001:13:50|P|PAO|<b>Newsman:</b> Do you have that total lift-off weight, since it was the heaviest, other than 26,000 more than the others?
001:13:56|P|PAO|<b>Kapryan:</b> No, I don't. It was - if you recall what Apollo 12 was, add 25,600 pounds to it.
001:14:03|P|PAO|<b>King:</b> That was about 6.4 [million pounds] but we'll check that figure for you. Al, up there. Go ahead. Okay. Go ahead. Go ahead, Reg.
001:14:14|P|PAO|<b>Turnill:</b> You told us there was a 22,000-pound payload margin -
001:14:18|P|PAO|<b>Kapryan:</b> 2,200-pound.
001:14:20|P|PAO|<b>Turnill:</b>  - 200, thanks. How much of that margin has been consumed, please?
001:14:24|P|PAO|<b>Kapryan:</b> Best we can determine, we used up a significant proportion of that margin. Now, beyond that margin, we still have what we call a 3-sigma capability, so we have the full 3-sigma capability plus somewhat of a margin. Now, at the time I left the firing room, we did not have all of the numbers in yet, telling us exactly how much we had but we did - were able to establish that we still had - we did have the full 3-sigma margin. The 2,200 pounds was something that was a little bit of gravy that we had in addition to that.
001:15:02|P|PAO|<b>Turnill:</b> And is it a fact that you've just got enough for TLI now?
001:15:07|P|PAO|<b>Kapryan:</b> Yes. For a 3-sigma condition. In other words, for a worst-case condition. If you put all of your 3-sigma errors together, which is the basis on which we plan our missions, we have enough reserves to handle that.
001:15:19|P|PAO|<b>Turnill:</b> Thank you.
001:15:20|P|PAO|<b>King</b>: We use - we still have margin. We still do have - we have all the margin we wanted to have. We've not used up all our margin or even come close to using it up.
001:15:29|P|PAO|<b>Kapryan:</b> We have our full 3-sigma margin.
001:15:32|P|PAO|<b>King:</b> ...
001:15:34|P|PAO|<b>Newsman:</b> On that - on that weight again, what - where are you getting the extra 22,000 pounds? Is that fuel, and if so, located where?
001:15:43|P|PAO|<b>Kapryan:</b> The - as far as the margin itself was concerned, well, we flew - we flew with some extra propellants aboard this vehicle. Part of it for the reason of flying this missions and part of it to just get a little bit of added knowledge in - as a preliminary to flying the 'J' missions which are going to be missions where we fly with heavier payloads than we've been flying to this time. So we loaded the tanks up more than was required to fly the mission.
001:16:15|P|PAO|<b>King:</b> Go ahead, ...
001:16:16|P|PAO|<b>Newsman interjection:</b> Does that include -
001:16:16|P|PAO|<b>Newsman:</b> Do you have enough fuel left for the - to guide the S-IVB for the lunar impact?
001:16:23|P|PAO|<b>Kapryan:</b> I asked that question when I left the firing room. The best answer I could get at that time was that we should not affect our capability of flying the nominal lunar impact with the S-IVB. In other words, we expect to impact the S-IVB where we planned to.
001:16:45|P|PAO|<b>King:</b> Ed. Over here.
001:16:46|P|PAO|<b>Newsman:</b> Why that's the same question I wanted to ask.
001:16:49|P|PAO|<b>King:</b> Have any over here? Okay, any more hands? Okay, we'll take two over here and then we'll wrap it up.
001:17:00|P|PAO|<b>Newsman:</b> ..., Mattingly was in the control room. Was there no concern about his being infectious with German Measles?
001:17:08|P|PAO|<b>Speaker:</b> He was in the control room in Houston.
001:17:10|P|PAO|<b>Kapryan:</b> Mattingly left the cape last night.
001:17:14|P|PAO|<b>King:</b> I think we'd have to - We'll try to find that out for you, Ben, but I don't think we have any details. Ken Mattingly observed the launch from the Mission Control Center in Houston, not here. If you have a question, Andy, go ahead.
001:17:32|P|PAO|<b>Newsman:</b> Could you give us the figures again for the additional burn of the S-II and the S-IVB?
001:17:38|P|PAO|<b>Kapryan:</b> Yes, the S-II inboard engine, the center engine cut off 2 minutes and 7 seconds earlier than it was supposed to. As a result of that, the outboard engines burned 33.96, roughly 34 seconds longer than they would have had the inboard engine burned for its proper time. As far as the S-IVB is concerned, the delta in time was about the same; 33.97, roughly 34 seconds longer.
001:18:21|P|PAO|<b>King:</b> Okay, we'll take one here.
001:18:24|P|PAO|<b>Newsman:</b> One last thing about this extra fuel, Walt. Did you have extra fuel in the S-IVB by any chance, as a result of running this weight up and did that give you a little more leeway?
001:18:35|P|PAO|<b>Kapryan:</b> Yes, we had some extra fuel in all three stages. We had about the same amount of LOX that we flew on Pete Conrad's mission. We had approximately 9,500 pounds more RP-1 than we had on Apollo 12, and we had more LOX and hydrogen on both the other stages. I knew those figures but I've forgotten them. I can't give them to you.
001:18:57|P|PAO|<b>King:</b> Did that make any difference in the 3-sigma?
001:19:00|P|PAO|<b>Kapryan:</b> Well, it helped us out.
001:19:01|P|PAO|<b>Newsman:</b> Okay.
001:19:02|P|PAO|<b>King:</b> All right, we'll take one final one up here.
001:19:04|P|PAO|<b>Newsman:</b> Can we have exact lift-off time please?
001:19:06|P|PAO|<b>Kapryan:</b> Let me check here. Here it is. It was 600 milliseconds late.
001:19:33|P|PAO|<b>King:</b>2:13.00.6
001:19:40|P|PAO|<b>King:</b> Okay, thank you very much. That completes the conference. We should be coming back up on acquisition in about 10 minutes.
001:19:48|P|PAO|<b>Kapryan:</b> [Mumbling to PAO.] There's on thing I said that I'm not sure I knew ... what it does to the timeline -
001:28:01|P|PAO|This is Apollo Control at 1 hour, 28 minutes. We'll be re-establishing radio communications with Apollo 13 in about 40 seconds as the spaceship comes within range of the Guaymas, Mexico tracking station. During the launch phase, the medic reports the following heart rates. These are maximum heart rates for the three crewmen. Commander Jim Lovell had a maximum heart rate during the launch of 116; the Command Module Pilot Jack Swigert had a maximum heart rate of 102; and the Lunar Module Pilot Fred Haise also had a maximum heart rate of 102.
001:28:40|C|Kerwin|Apollo 13, Houston through Guaymas. Over.
001:28:44|P|PAO|CapCom Joe Kerwin has just put in a call to the crew through Guaymas. We'll stand by.
001:29:31|C|Kerwin|Apollo 13, Houston through Guaymas. Over.
001:29:55|C|Kerwin|Apollo 13, Houston
001:30:28|C|Kerwin|Apollo 13, Houston. Over.
001:30:48|C|Kerwin|Apollo 13, Houston. Over.
001:31:07|C|Kerwin|Apollo 13, Houston. Over.
001:31:09|T|CMP|Go ahead.
001:31:10|C|Kerwin|Hello there. We thought you were still up there.
001:31:13|T|CMP|And we're just coming up on Baja, and I've got the TV on. Do you want it?
001:31:18|C|Kerwin|I don't think we require it just yet, Jack, but we'll command it when we're ready. I believe they are dumping the tape now. The booster looks good. The spacecraft looks good on the few minutes' data we've had.
001:31:31|T|CMP|That sounds good.
001:31:40|T|CMP|Jim finally let me look out.
001:31:41|C|Kerwin|(Laughter) How do you like it?
001:31:52|T|CMP|Chained me to the LEB down there stowing things and unstowing things, and I finally got a chance to look out and see the world.
001:32:03|P|PAO|That was Jack Swigert reporting, apparently his first view out the windows.
001:32:16|C|Kerwin|Apollo 13, Houston. I have the TLI plus 90, and lift-off plus 8 PADs whenever you're ready.
001:32:35|T|LMP|Okay. Go ahead with the TLI PAD, Joe.
001:32:41|C|Kerwin|Okay. This is the TLI plus 90 PAD. SPS/G&amp;N, 63825, minus 1.54, plus 1.32, 004:06:45.53, minus 0491.7, plus 0000.1, plus 6634.0, 180, 228, 001; H<sub>A</sub> is N/A; H<sub>P</sub> is plus 0017.9; 6652.2, 7:37, 6626.5, 26, 155.4, 15.7. Boresight star is Zeta Sagittarii; up, 08.0; right, 2.1; minus 22.81, minus 025.00, 1140.7, 34087, 013:32:14. Set stars; Arcturus, Denebola; roll, 044; pitch, 012; yaw, 025; no ullage. Over.
001:34:41|T|CMP|Joe, we had a dropout of signal there about midway or about a fifth of the start of your PAD, and Fred didn't get it. We'd like you to start over again. Could you please?
001:34:52|C|Kerwin|Sure thing. You want the whole thing?
001:34:54|T|CMP|Yes, I think you'd better.
001:34:56|C|Kerwin|Okay. TLI plus 90: SPS/G&amp;N, 63825, minus 1.54, plus 1.32, 004:06:45.53, minus 0491.7, plus 0000.1, plus 6634.0, 180, 228, 001; N/A; plus 0017.9, 6652.2, 7:37, 6626.5, 26, 155.4, 15.7; Zeta Sagittarii; up, 08.0; right 2.1; minus 22.81, minus 025.00, 1140.7, 34087, 013:32:14. Set stars: Arcturus, Denebola; roll, 044; pitch, 012; yaw, 025; no ullage. Over.
001:36:47|T|LMP|Okay, Joe. That's 63825, minus 1.54, plus 1.32, 004:06:45.53 -
001:37:02|C|Kerwin|Fred, Houston. Stand by 1.
001:37:04|T|LMP|- minus 0491.7, plus 0000.1, plus 6634.0.
001:37:12|C|Kerwin|Fred, Houston. Over.
001:37:13|T|LMP|Go ahead.
001:37:15|C|Kerwin|That's correct. We'd like you to go the S-Band Aux TV switch to TV, please.
001:37:22|T|LMP|Okay. It's set to TV.
001:37:23|C|Kerwin|Okay. We're not getting a signal.
001:37:25|T|CMP|Okay. I'll go to Transmit, Joe.
001:37:26|C|Kerwin|Okay. You can continue reading back.
001:37:31|T|LMP|Okay. Roll, 180; pitch, 228; yaw, 001; N/A; plus 0017.9, 6652.2, 7:37, 6626.5 and I missed sextant shaft; - trunnion - trunnion, 15.7, Zeta Sagittarius, up, 08.0; roll 2.1; minus 22.81, minus 00 - correction, minus 025.00, 1140.7, 34087, 013:32:14. Set stars: Arcturus and Denebola; roll align, 044; pitch, 012; yaw, 025; no ullage.
001:38:31|C|Kerwin|Roger, Fred. Readback correct. The sextant star is 26, and the shaft is 15.54. Over.
001:38:42|T|LMP|Okay. Sextant star 26 and 15.54.
001:38:46|C|Kerwin|Roger. And we have a picture now; however, it's moving around quite a bit, if you could hold the camera a little steadier. And I have your -
001:38:54|T|LMP|- Okay, Joe. There's nothing but clouds outside, and when we get some land down there coming up, I'll switch back to the window, I thought I'd just show you Jim here, to make sure he's still here.
001:39:08|C|Kerwin|Okay; real fine. We had a good picture of Jim there for a minute. I have the Lift-off plus 8 PAD, Fred. If you're ready.
001:39:17|T|LMP|Go ahead, Joe.
001:39:18|C|Kerwin|Okay. GET<sub>I</sub>, 008:00; Delta-V<sub>T</sub>, 7835; longitude, minus 165; GET 400K, 022:36. Over.
001:39:41|T|LMP|Okay. 008:00, 7835, minus 165, 022:36.
001:39:49|C|Kerwin|Okay, then. And I have TLI PAD for you.
001:39:53|T|LMP|Okay. I'm ready.
001:39:55|C|Kerwin|TLI: 2:26:05, 179, 108, 000, 5:47, 10416.9, 35587, 358, 139, 320, 302, 319, 040. Ejection time, 4 plus 01 plus 00. Over.
001:40:44|T|LMP|Okay. TLI: 2 plus 26 plus 05, 179, 108, 000, 5 plus 47, 10416.9, 35587, 358, 139, 320, 302, 319, 040, and ejection time, 4 plus 01 plus 00.
001:41:18|C|Kerwin|Roger, Fred. Readback correct, and we're getting a nice color TV picture now. If you have any commentary to go with it.
001:41:31|T|CMP|Okay, Joe. I'll tell you, I'm just trying to figure out where we are here.
001:41:40|C|Kerwin|That's your job, not mine.
001:41:43|T|CMP|... You know, I've just been up out of the LEB for a short time here, and I'm trying to find out which country we're over.
001:41:52|T|CDR|I have to keep telling Jack that the blue stuff down there is water.
001:41:56|C|Kerwin|I'll give you a hint. You're in the western hemisphere.
001:42:10|T|CMP|Okay, Joe. It appears like that we've crossed out into the Gulf of Mexico here, and I've got a peninsula or an island that's down there. I don't know whether you can see it.
001:42:34|C|Kerwin|Roger, Jack. We see that. Of course, there's a lot of cloud cover and you see it more clearly than we do, but it does look like the Earth, not the Moon.
001:42:58|C|Kerwin|Apollo 13, Houston. We've had LOS MILA now. Thank you very much.
001:43:04|P|PAO|Off the southern coast of the United States, but we'll stay with it and perhaps we'll get a picture in a moment or -
001:43:48|C|Kerwin|Apollo 13, Houston. Request P00 and Accept for a state vector. Over.
001:43:53|T|CDR|Roger, Houston. We're in P00 and Accept.
001:43:56|C|Kerwin|Okay.
001:48:08|C|Kerwin|Apollo 13, Houston.
001:48:10|T|CDR|Go ahead, Houston.
001:48:11|C|Kerwin|Okay. The computer is yours, Jim.
001:48:14|T|CDR|Thank you, going to BLOCK.
001:48:16|C|Kerwin|And you are Go for TLI. Huntsville reports that you have a 6-second propellant pad which is 3 seconds more than a 3-sigma case; so you're good on consumables. The IU is so good that we're not going to update it. The only change we have for you is in the TLI checklist. At 57 minutes, where you slew the FDAI to 18 degrees, we recommend 20 degrees there, and we recommend that you look for 8 degrees instead of 6 degrees at ignition. The S-IVB is riding on the top of its deadband.
001:48:56|T|CDR|Understand; and just out of curiosity, was that engine-out to use up more S-IVB fuel?
001:49:03|C|Kerwin|The engine-out did cause you to use more S-IVB fuel - about a 10-second-longer burn; but you're still Go.
001:49:12|T|CDR|Okay. Thank you.
001:49:21|C|Kerwin|And, 13, Houston. We're ready to support pyro arm and docking probe extension whenever you're ready.
001:49:36|T|CDR|Okay, Houston. Docking probe has been extended and all indications are nominal. We're down to Pyro Arm now and we're getting ready.
001:49:47|C|Kerwin|Okay, Jim.
001:49:58|T|CDR|Okay, Houston. My circuit breaker's armed - or closed; Sequential Logic, two, on and up and we're standing by ...
001:50:06|C|Kerwin|Okay, 13. You're Go for pyro arm.
001:50:28|P|PAO|We've Loss Of Signal now with the spacecraft through the Vanguard Tracking Ship; we'll be reacquiring at Canary Islands in just a few minutes.
001:50:40|T|CDR|And, Houston, 13. Were you reading us?
001:50:43|C|Kerwin|Roger, 13. Go ahead.
001:50:47|T|CDR|Roger. We have our Sequential Arm circuit breakers in and our Sequential Logic, two, on and up and we are just standing by for your confirmation for a Go.
001:50:56|C|Kerwin|Sorry, 13. You didn't copy. You are Go for pyro arm. Over.
001:51:00|T|CDR|Okay; fine. Thank you.
001:53:21|C|Kerwin|Apollo 13, Houston.
001:53:24|T|CDR|Go ahead, Houston.
001:53:26|C|Kerwin|About 2&frac12; minutes to LOS, Jim, and your AOS at Carnarvon will be 2 plus 25 plus 50. Over.
001:53:41|T|CDR|Roger. AOS at Carnarvon 2 plus 25 plus 50.
001:53:45|C|Kerwin|That's affirm.
001:54:57|C|Kerwin|Apollo 13, Houston. LOS in about 1 minute. At LOS we'd like Command Reset and then Normal.
001:55:05|T|CDR|Roger.
001:56:42|P|PAO|We've lost contact now with the spacecraft through the Canary Islands Tracking Station. We'll be reacquiring in a little less than 30 minutes, at a Ground Elapsed Time of 2 hours, 26 minutes; when the spacecraft comes within range of the tracking antennas at Carnarvon Australia. During the pass over the United States, and out over the Atlantic, CapCom Joe Kerwin gave the crew a preliminary go ahead for Translunar Injection. We have adequate propellant margins on the Saturn third stage, and despite the some 10 seconds of additional burn in getting into orbit due to the early shutdown of the second stage center engine. It is not expected that the somewhat later injection time will have any significant effect on the Flight Plan; the preliminary time for the beginning of the Translunar Injection burn is 2 hours, 35 minutes, 27 seconds. The Flight Dynamics Officer is in the process now of updating that time but we don't expect a significant change. At 1 hour, 57 minutes, 55 seconds; this is Mission Control, Houston.
002:24:58|P|PAO|This is Apollo Control at 2 hours, 25 minutes. Apollo 13 is now about 10 minutes away from the scheduled ignition of the S-IVB engine to start the spacecraft on its way to the Moon. The Flight Dynamics Officer advises that the planned time for the beginning of that burn will be 2 hours and 35 minutes, 44 seconds Ground Elapsed Time. Our network controller reports that we've just had Acquisition Of Signal with the spacecraft from Carnarvon and during this pass, flight controllers will be looking at the spacecraft and the launch vehicle - the S-IVB - one last time before Translunar Injection.
002:25:38|C|Kerwin|Apollo 13, Houston through Carnarvon.
002:25:41|T|CMP|Okay, Joe. Read you loud and clear. We're sitting here monitoring time base 6. You can see countdown; we're 20 seconds away.
002:25:49|C|Kerwin|Okay. We're just starting to get data, and everything still looks good to us.
002:25:53|T|CMP|Hey, Joe. At 2 hours and 12 minutes, the O<sub>2</sub> Flow High light came on, and it's been pegged high ever since, so it's been on about 14 minutes now.
002:26:04|C|Kerwin|Roger, 13. We're looking at it.
002:26:09|T|CDR|Time base 6.
002:26:12|C|Kerwin|Copy. Time base 6.
002:26:52|C|Kerwin|Okay. Apollo 13, Houston. You have a Go for all systems, and the O<sub>2</sub> Flow High check is nominal with the Waste Tank Vent open at this time, and it's no sweat.
002:27:05|T|CMP|Okay. Just wanted you all to check it for me.
002:27:08|C|Kerwin|Okay. We did.
002:27:11|T|CMP|Thank you.
002:29:44|P|PAO|The crew is rather quiet at this time, preparing for that Translunar Injection burn. The burn again scheduled to begin at 2 hours, 35 minutes, 44 seconds. The predicted duration of the burn is 5 minutes, 47 seconds and we expect that the spacecraft and S-IVB will accelerate some 10,417 feet per second [3,175 m/s] as a result of that maneuver. We will not get data from the burn and we'll be out of acquisition with the spacecraft at the time the maneuver occurs. Three ARIA aircraft, Apollo Range Instrumented Aircraft, are stationed in the ground track off the coast of Australia underneath the point on Earth where the Translunar Injection burn will be occurring. They'll be recording data from it which we could play back somewhat later if necessary. The booster engineer's just reported that the S-IVB chilldown in preparation for the burn has begun.
002:31:22|C|Kerwin|Apollo 13, Houston. We'll be losing data from Carnarvon in about 1 minute. We'll probably have voice through ARIA. Everything is hunky-dory, and we'll be listening for you to tell us how the burn goes.
002:31:34|T|CDR|Okay, this is 13. We're standing by, too.
002:33:13|P|PAO|We've had Loss Of Signal now through Canarvon. And CapCom Joe Kerwin has just put on a call through one of the ARIA aircraft.
002:33:14|C|Kerwin|Apollo 13, Houston through ARIA. Just a comm check. Over.
002:33:20|T|CDR|Reading you clear, all the way you've been clear.
002:33:26|C|Kerwin|Okay, Jim. It's not the best, but we're reading you.
002:33:30|T|CDR|Roger.
002:34:16|P|PAO|We expect communications will continue to be somewhat noisy during the time that conversation from the spacecraft is being relayed through the ARIA aircraft. As mentioned before, we will not see the telemetry data on the burn. We do hope to get voice reports on the progress of the maneuver from the crew. We are now just a little more than one minute away from the scheduled beginning of that burn.
002:34:28|O|CMP|... now?
002:34:30|O|LMP|...
002:34:32|O|CMP|... 59 - ...
002:34:49|O|CDR|What was this ...?
002:34:52|O|LMP|...
002:34:58|O|CMP|... and what are your FDAI angles ...?
002:35:01|O|CDR|...
002:35:03|O|CMP|Okay, 59  - ...?
002:35:05|O|CDR|...
002:35:11|O|CMP|Okay, I've got 59 and 30. How's that? Okay?
002:35:27|O|CMP|... the burn, ...
002:35:29|O|CDR|...
002:35:34|O|CMP|Okay. ... burning, Jim.
002:35:37|O|CDR|Okay. Here, I'll get out the ...
002:35:40|O|CMP|...
002:35:45|O|LMP|...
002:35:46|O|CMP|Burning!
002:35:48|O|CDR|Okay. Watch that -
002:35:51|T|CDR|Ignition, Houston.
002:35:53|C|Kerwin|Copy that, Jim. Good deal.
002:35:56|O|CMP|Okay. ... pitching her down a little bit, right here.
002:36:00|O|CDR|... There you go.
002:36:02|P|PAO|Jim Lovell reports that we have ignition.
002:36:04|O|CMP|... Is that all right?
002:36:05|O|CDR|Okay, you watch the - trajectory thrust?
002:36:09|O|CMP|Yes.
002:36:20|P|PAO|Lovell's report would indicate we had a very close to on-time ignition. A total burn duration should be about 5 minutes, 47 seconds.
002:36:25|O|CMP|... burned 14-second velocity V<sub>I</sub> and ...
002:36:46|O|CDR|...?
002:36:47|O|CMP|It's right on V<sub>I</sub>; we're right on V<sub>I</sub>.
002:36:55|O|CDR|Got both ... up?
002:36:58|O|LMP|We got to leave these open.
002:37:06|O|CMP|Okay, 01:30. Three minutes and -
002:37:07|O|LMP|0.75.
002:37:09|O|CMP|...
002:37:17|O|CMP|Right on - right on; ... little bit higher ...
002:37:30|O|CDR|...
002:37:35|O|CMP|...
002:37:37|O|CDR|Watch the ...
002:37:44|O|LMP|Okay, Jim, it's 2 minutes ...
002:37:52|T|CDR|Everything's okay so far.
002:37:56|C|Kerwin|Houston; Roger.
002:38:06|O|CMP|Okay; we got 02:30 coming ..., Jim?
002:38:09|P|PAO|Jim Lovell just reported that everything looks good with that burn. We're still about 7 minutes away from reacquiring the spacecraft through the station in Hawaii at which time we'll get our first good look at the trajectory as a result of this burn.
002:38:17|O|CMP|Right on ... Right on H-dot; we're right on 8.
002:38:27|T|LMP|They are off - at 38.
002:38:31|O|CMP|Three minutes - 
002:38:47|O|CMP|...
002:38:48|O|CDR|All right.
002:39:02|O|CMP|3:30, Jim. 3.4.
002:39:06|O|CDR|3.4. Okay.
002:39:13|P|PAO|We're now 3&frac12; minutes into the Translunar Injection burn. Some 2 minutes, 17 seconds remaining in the maneuver which will start Apollo 13 en route to the Moon.
002:39:17|O|CMP|Okay. We're right on.
002:39:19|O|CDR|Okay. ...
002:39:27|O|CMP|Okay, at 4 minutes. ...
002:39:36|O|LMP|...?
002:39:38|O|CDR|Okay.
002:39:42|O|CDR|Okay, we'll hold this down; we've got a little vibration.
002:39:45|O|LMP|...
002:39:47|O|CDR|Yes.
002:39:57|O|CDR|No, ... thousand, 200 ...
002:40:06|O|Multiple speakers (onboard)|...
002:40:07|O|CMP|We're looking at 4 point ... -
002:40:09|O|CDR|4 point ..., okay.
002:40:16|O|CMP|Right on at 30. A little bit high.
002:40:26|T|CDR|And, Houston, we're noticing a little vibration during this burn.
002:40:28|C|Kerwin|Houston; Roger.
002:40:37|O|LMP|Five minutes ... 4.6.
002:40:41|O|CDR|Okay.
002:40:46|O|CMP|... a hundred ...
002:40:50|O|CDR|Okay.
002:40:51|O|CMP|H-dot is a little high ...
002:40:54|O|CDR|Okay.
